Time,Country,NB of detections,NB of violations
08/04/2020 05:13:44,Canada,42,33
08/04/2020 18:05:04,Belgium,44,66
09/04/2020 02:44:01,United States,98,47
10/04/2020 07:10:27,United Kingdom,53,24
10/04/2020 14:55:13,United States,88,69
10/04/2020 20:26:31,Denmark,76,37
12/04/2020 03:00:51,United States,52,63
12/04/2020 11:36:43,United States,21,45
13/04/2020 18:14:22,United States,13,36
13/04/2020 21:40:29,United States,22,76
14/04/2020 19:08:57,United States,61,62
15/04/2020 07:15:23,United States,80,60
15/04/2020 07:39:26,United States,26,55
16/04/2020 16:25:35,Germany,34,64
17/04/2020 12:31:21,Belgium,97,76
17/04/2020 22:49:18,United States,73,91
17/04/2020 23:47:41,United Kingdom,21,81
18/04/2020 22:14:35,Finland,60,85
18/04/2020 23:45:42,United States,68,75
20/04/2020 05:02:39,United Kingdom,62,41
20/04/2020 06:24:12,United States,47,94
20/04/2020 12:23:27,United States,33,28
20/04/2020 16:00:47,United Kingdom,70,83
20/04/2020 16:54:30,Sweden,94,65
22/04/2020 20:14:11,United States,77,60
22/04/2020 23:57:18,Switzerland,54,59
23/04/2020 09:52:04,United States,51,75
23/04/2020 12:02:24,United States,13,70
26/04/2020 15:32:35,United States,100,72
29/04/2020 05:56:28,United States,53,64
29/04/2020 16:22:23,United Kingdom,33,51
29/04/2020 23:12:43,Canada,44,97
30/04/2020 05:14:44,United States,80,79
02/05/2020 03:14:03,Canada,85,24
02/05/2020 07:38:14,United States,89,54
03/05/2020 14:52:43,United States,24,43
03/05/2020 17:20:15,United States,14,41
05/05/2020 09:26:57,United States,42,70
05/05/2020 20:40:45,Netherlands,37,61
06/05/2020 01:42:29,Canada,22,47
06/05/2020 15:26:09,United States,16,45
06/05/2020 19:54:08,United States,76,50
07/05/2020 08:43:14,United States,55,97
07/05/2020 12:06:10,Netherlands,69,91
07/05/2020 15:36:53,United Kingdom,98,40
08/05/2020 08:08:03,United States,86,38
,,,
